file_name,#timeframe,#clause,#total_calls,#ctg,result,time
oski15a01b63s.aig,1,0,5,0,FAILED,6.45
oski15a01b64s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b65s.aig,1,0,5,0,FAILED,6.41
oski15a01b66s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b67s.aig,1,0,5,0,FAILED,6.39
oski15a01b68s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b69s.aig,1,0,5,0,FAILED,6.55
oski15a01b70s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b71s.aig,1,0,5,0,FAILED,6.38
oski15a01b72s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b73s.aig,1,0,5,0,FAILED,6.55
oski15a01b74s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b75s.aig,1,0,5,0,FAILED,6.49
oski15a01b76s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b77s.aig,1,0,5,0,FAILED,6.11
oski15a01b78s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b79s.aig,NA,NA,NA,NA,NA,timeout
oski15a07b0s.aig,NA,NA,NA,NA,NA,timeout
oski15a07b1s.aig,1,0,5,0,FAILED,1.81
oski15a07b2s.aig,NA,NA,NA,NA,NA,timeout
oski15a07b3s.aig,1,0,5,0,FAILED,1.80
oski15a07b4s.aig,NA,NA,NA,NA,NA,timeout
oski15a07b5s.aig,1,0,5,0,FAILED,1.81
oski15a08b00s.aig,NA,NA,NA,NA,NA,timeout
oski15a08b01s.aig,1,0,425,0,FAILED,74.13
oski15a08b02s.aig,NA,NA,NA,NA,NA,timeout
oski15a08b03s.aig,NA,NA,NA,NA,NA,timeout
oski15a08b04s.aig,NA,NA,NA,NA,NA,timeout
oski15a08b05s.aig,NA,NA,NA,NA,NA,timeout
oski15a08b06s.aig,NA,NA,NA,NA,NA,timeout
oski15a08b07s.aig,NA,NA,NA,NA,NA,timeout
oski15a08b08s.aig,NA,NA,NA,NA,NA,timeout
oski15a08b09s.aig,NA,NA,NA,NA,NA,timeout
oski15a08b10s.aig,NA,NA,NA,NA,NA,timeout
oski15a08b11s.aig,NA,NA,NA,NA,NA,timeout
oski15a08b12s.aig,NA,NA,NA,NA,NA,timeout
oski15a08b13s.aig,NA,NA,NA,NA,NA,timeout
oski15a08b14s.aig,NA,NA,NA,NA,NA,timeout
oski15a08b15s.aig,NA,NA,NA,NA,NA,timeout
oski15a08b16s.aig,NA,NA,NA,NA,NA,timeout
oski15a08b17s.aig,NA,NA,NA,NA,NA,timeout
oski15a10b00s.aig,8,116,|2,446|,173,HOLDS,10.94
oski15a10b01s.aig,1,0,5,0,FAILED,0.70
oski15a10b02s.aig,NA,NA,NA,NA,NA,timeout
oski15a10b03s.aig,1,0,840,0,FAILED,7.28
oski15a10b04s.aig,NA,NA,NA,NA,NA,timeout
oski15a10b05s.aig,1,0,810,0,FAILED,7.14
oski15a10b06s.aig,NA,NA,NA,NA,NA,timeout
oski15a10b07s.aig,3,796,|60,517|,2617,FAILED,279.79
oski15a10b08s.aig,NA,NA,NA,NA,NA,timeout
oski15a10b09s.aig,4,2949,|159,933|,7634,FAILED,727.02
oski15a10b10s.aig,NA,NA,NA,NA,NA,timeout
oski15a10b11s.aig,4,2591,|87,450|,6209,FAILED,372.95
oski15a10b12s.aig,NA,NA,NA,NA,NA,timeout
oski15a10b13s.aig,1,0,5,0,FAILED,0.70
oski15a10b14s.aig,NA,NA,NA,NA,NA,timeout
oski15a10b15s.aig,1,0,700,0,FAILED,6.23
oski15a10b16s.aig,NA,NA,NA,NA,NA,timeout
oski15a10b17s.aig,1,0,5,0,FAILED,0.73
oski15a14b00s.aig,NA,NA,NA,NA,NA,timeout
oski15a14b01s.aig,1,0,5,0,FAILED,0.54
oski15a14b02s.aig,NA,NA,NA,NA,NA,timeout
oski15a14b03s.aig,NA,NA,NA,NA,NA,timeout
oski15a14b04s.aig,NA,NA,NA,NA,NA,timeout
oski15a14b05s.aig,NA,NA,NA,NA,NA,timeout
oski15a14b06s.aig,NA,NA,NA,NA,NA,timeout
oski15a14b07s.aig,1,0,5,0,FAILED,0.57
oski15a14b08s.aig,NA,NA,NA,NA,NA,timeout
oski15a14b09s.aig,1,0,5,0,FAILED,0.57
oski15a14b10s.aig,NA,NA,NA,NA,NA,timeout
oski15a14b11s.aig,1,0,5,0,FAILED,0.58
oski15a14b12s.aig,3,260,|7,687|,756,HOLDS,18.35
oski15a14b13s.aig,1,0,5,0,FAILED,0.57
oski15a14b14s.aig,1,0,5,0,HOLDS,0.70
oski15a14b15s.aig,1,0,5,0,FAILED,0.58
oski15a14b16s.aig,1,0,5,0,HOLDS,1.35
oski15a14b17s.aig,1,0,5,0,FAILED,0.57
oski15a14b18s.aig,1,0,5,0,HOLDS,0.70
oski15a14b19s.aig,1,0,5,0,FAILED,0.57
oski15a14b20s.aig,NA,NA,NA,NA,NA,timeout
oski15a14b21s.aig,NA,NA,NA,NA,NA,timeout
